City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Rio Grande,BR,-32.035,-52.0986,61.45,67,0,9.57,clear sky
Safranbolu,TR,41.2508,32.6942,42.78,66,96,1.66,overcast clouds
Asosa,ET,10.0667,34.5333,65.66,59,0,3.27,clear sky
Neubrandenburg,DE,53.5667,13.2667,40.68,94,43,14.34,scattered clouds
Mucuri,BR,-18.0864,-39.5508,75.4,89,91,10.74,overcast clouds
Korla,CN,41.7597,86.1469,44.1,38,100,8.63,overcast clouds
Djenne,ML,13.9061,-4.5533,76.21,16,99,8.52,overcast clouds
Vallenar,CL,-28.5708,-70.7581,62.04,71,100,2.44,overcast clouds
Melilla,ES,35.2937,-2.9383,70.18,60,0,5.75,clear sky
Gangapur,IN,26.4833,76.7167,77.65,34,0,2.91,clear sky
Yarada,IN,17.65,83.2667,80.92,69,56,9.22,haze
Somerset,US,40.5668,-74.5496,42.17,92,100,5.01,moderate rain
Limoges,FR,45.75,1.3333,49.68,100,100,8.21,light rain
Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
Yarmolyntsi,UA,49.1924,26.8373,41.18,76,100,2.51,overcast clouds
Nizhnyaya Tavda,RU,57.6731,66.1725,3.09,88,100,9.64,overcast clouds
Tchollire,CM,8.4022,14.1698,69.44,42,96,1.19,overcast clouds
Iberia,US,29.9502,-91.7507,44.06,74,97,11.7,overcast clouds
Scarborough,GB,54.2797,-0.4044,47.66,91,89,3,overcast clouds
Ashland,US,40.8167,-82.2665,37.11,96,100,9.53,overcast clouds
Tramandai,BR,-29.9847,-50.1336,63.72,68,0,7.92,clear sky
Khor,RU,47.8861,134.9464,30.49,55,99,9.75,overcast clouds
Azamgarh,IN,26.06,83.1861,79.54,35,0,7.87,clear sky
Camana,PE,-16.6228,-72.7111,64.96,83,100,4.85,overcast clouds
Tombouctou,ML,20,-3,71.02,19,92,8.46,overcast clouds
Hamilton,US,39.1834,-84.5333,39.72,88,100,7,overcast clouds
Konskie,PL,51.1917,20.4061,42.24,87,100,7.49,light rain
Kalmunai,LK,7.4167,81.8167,82.47,74,100,10.29,overcast clouds
Shentala,RU,54.45,51.4833,18.52,92,86,3.96,overcast clouds
Mercedes,AR,-34.6515,-59.4307,66.04,56,40,5.19,scattered clouds
Paso De Los Toros,UY,-32.8167,-56.5167,61.61,58,39,2.06,scattered clouds
Chake Chake,TZ,-5.2459,39.7666,80.47,75,3,5.66,light rain
Katakwi,UG,1.8911,33.9661,70.43,76,85,3.04,overcast clouds
Najran,SA,17.4924,44.1277,57.85,27,0,3.51,clear sky
Laguna,US,38.421,-121.4238,57.33,48,0,8.05,clear sky
Cacule,BR,-14.5033,-42.2222,68.45,94,99,4.38,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,67.5,88,75,16.11,broken clouds
Kavaratti,IN,10.5669,72.642,81.57,71,92,1.48,overcast clouds
Mushie,CD,-3.0167,16.9,70.16,98,100,3.18,light rain
Goderich,CA,43.7501,-81.7165,30.9,93,100,13.8,snow
Pokaran,IN,26.9167,71.9167,76.32,26,1,3.78,clear sky
Shirgaon,IN,19.7,72.7,82.18,46,2,6.17,clear sky
Riyadh,SA,24.6877,46.7219,66.34,29,0,10.6,clear sky
Ancud,CL,-41.8697,-73.8203,52.45,97,98,6.15,overcast clouds
Yar-Sale,RU,66.8333,70.8333,-5.82,83,66,7.9,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,46.45,49,0,14.97,clear sky
Castro,BR,-24.7911,-50.0119,52.09,80,0,3.87,clear sky
Verkhnyaya Toyma,RU,62.2349,44.9985,19.15,65,93,4.36,overcast clouds
Camacha,PT,33.0833,-16.3333,63.82,82,40,5.75,scattered clouds
Cabral,DO,18.25,-71.2167,75.45,90,1,3.22,light rain
Valladolid,ES,41.5833,-4.6667,50.85,87,100,15.46,overcast clouds
Umm Lajj,SA,25.0213,37.2685,75.02,69,5,10.45,clear sky
Oranjemund,NA,-28.55,16.4333,59.63,75,19,6.04,few clouds
Dingle,PH,10.9995,122.6711,85.84,73,85,12.55,overcast clouds
Rafraf,TN,37.1904,10.1837,57.51,62,67,6.73,broken clouds
Tapes,BR,-30.6733,-51.3958,63.66,68,0,6.69,clear sky
Kouango,CF,4.9934,19.9619,70.14,72,90,0.56,overcast clouds
Entre Rios,BR,-11.9419,-38.0844,70.03,99,28,2.44,scattered clouds
Quatre Cocos,MU,-20.2078,57.7625,77.09,66,57,8.14,light rain
Faaborg,DK,55.0951,10.2423,50,80,97,30.31,overcast clouds
Bahir Dar,ET,11.5936,37.3908,61.54,68,1,3.42,clear sky
Dawlatabad,AF,36.4141,64.9053,52.41,40,1,2.8,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,70,95,100,10.49,moderate rain
Uusikaupunki,FI,60.8004,21.4084,32.04,94,18,6.67,few clouds
Tessalit,ML,20.1986,1.0114,68,21,99,4.5,overcast clouds
Maniitsoq,GL,65.4167,-52.9,19.58,81,100,3.85,overcast clouds
Akhisar,TR,38.9185,27.8401,44.91,82,4,1.74,clear sky
Matara,LK,5.9485,80.5353,83.79,67,100,2.98,overcast clouds
San Andres,CO,12.5847,-81.7006,84.22,79,40,12.66,scattered clouds
Nanyamba,TZ,-10.6833,39.8333,78.6,66,86,4.18,overcast clouds
Plouzane,FR,48.3833,-4.6167,50.32,84,0,16.11,clear sky
Jumla,NP,29.2747,82.1838,55.02,37,0,4.16,clear sky
